instant,dateday,season,year,month,weekday,workingday,weathersit,temp,temp_feeling,hum,windspeed,general,member,amount
1,2011-01-01,spring,2011,Jan,Sat,Holiday,Mist,0.34,0.36,0.81,0.16,331,654,985
2,2011-01-02,spring,2011,Jan,Sun,Holiday,Mist,0.36,0.35,0.70,0.25,131,670,801
3,2011-01-03,spring,2011,Jan,Mon,Workday,Clear,0.20,0.19,0.44,0.25,120,1229,1349
4,2011-01-04,spring,2011,Jan,Tue,Workday,Clear,0.20,0.21,0.59,0.16,108,1454,1562
5,2011-01-05,spring,2011,Jan,Wed,Workday,Clear,0.23,0.23,0.44,0.19,82,1518,1600
6,2011-01-06,spring,2011,Jan,Thu,Workday,Clear,0.20,0.23,0.52,0.09,88,1518,1606
7,2011-01-07,spring,2011,Jan,Fri,Workday,Mist,0.20,0.21,0.50,0.17,148,1362,1510
8,2011-01-08,spring,2011,Jan,Sat,Holiday,Mist,0.17,0.16,0.54,0.27,68,891,959
9,2011-01-09,spring,2011,Jan,Sun,Holiday,Clear,0.14,0.12,0.43,0.36,54,768,822
10,2011-01-10,spring,2011,Jan,Mon,Workday,Clear,0.15,0.15,0.48,0.22,41,1280,1321
11,2011-01-11,spring,2011,Jan,Tue,Workday,Mist,0.17,0.19,0.69,0.12,43,1220,1263
12,2011-01-12,spring,2011,Jan,Wed,Workday,Clear,0.17,0.16,0.60,0.30,25,1137,1162
13,2011-01-13,spring,2011,Jan,Thu,Workday,Clear,0.17,0.15,0.47,0.30,38,1368,1406
14,2011-01-14,spring,2011,Jan,Fri,Workday,Clear,0.16,0.19,0.54,0.13,54,1367,1421
15,2011-01-15,spring,2011,Jan,Sat,Holiday,Mist,0.23,0.25,0.50,0.16,222,1026,1248
16,2011-01-16,spring,2011,Jan,Sun,Holiday,Clear,0.23,0.23,0.48,0.19,251,953,1204
17,2011-01-17,spring,2011,Jan,Mon,Holiday,Mist,0.18,0.18,0.54,0.19,117,883,1000
18,2011-01-18,spring,2011,Jan,Tue,Workday,Mist,0.22,0.23,0.86,0.15,9,674,683
19,2011-01-19,spring,2011,Jan,Wed,Workday,Mist,0.29,0.30,0.74,0.21,78,1572,1650
20,2011-01-20,spring,2011,Jan,Thu,Workday,Mist,0.26,0.26,0.54,0.20,83,1844,1927
21,2011-01-21,spring,2011,Jan,Fri,Workday,Clear,0.18,0.16,0.46,0.35,75,1468,1543
22,2011-01-22,spring,2011,Jan,Sat,Holiday,Clear,0.06,0.08,0.40,0.17,93,888,981
23,2011-01-23,spring,2011,Jan,Sun,Holiday,Clear,0.10,0.10,0.44,0.25,150,836,986
24,2011-01-24,spring,2011,Jan,Mon,Workday,Clear,0.10,0.12,0.49,0.16,86,1330,1416
25,2011-01-25,spring,2011,Jan,Tue,Workday,Mist,0.22,0.23,0.62,0.13,186,1799,1985
26,2011-01-26,spring,2011,Jan,Wed,Workday,Light Snow,0.22,0.20,0.86,0.29,34,472,506
27,2011-01-27,spring,2011,Jan,Thu,Workday,Clear,0.20,0.22,0.69,0.11,15,416,431
28,2011-01-28,spring,2011,Jan,Fri,Workday,Mist,0.20,0.22,0.79,0.12,38,1129,1167
29,2011-01-29,spring,2011,Jan,Sat,Holiday,Clear,0.20,0.21,0.65,0.15,123,975,1098
30,2011-01-30,spring,2011,Jan,Sun,Holiday,Clear,0.22,0.25,0.72,0.07,140,956,1096
31,2011-01-31,spring,2011,Jan,Mon,Workday,Mist,0.18,0.19,0.60,0.19,42,1459,1501
32,2011-02-01,spring,2011,Feb,Tue,Workday,Mist,0.19,0.23,0.83,0.05,47,1313,1360
33,2011-02-02,spring,2011,Feb,Wed,Workday,Mist,0.26,0.25,0.78,0.26,72,1454,1526
34,2011-02-03,spring,2011,Feb,Thu,Workday,Clear,0.19,0.18,0.44,0.28,61,1489,1550
35,2011-02-04,spring,2011,Feb,Fri,Workday,Mist,0.21,0.23,0.59,0.13,88,1620,1708
36,2011-02-05,spring,2011,Feb,Sat,Holiday,Mist,0.23,0.24,0.93,0.16,100,905,1005
37,2011-02-06,spring,2011,Feb,Sun,Holiday,Clear,0.29,0.29,0.57,0.14,354,1269,1623
38,2011-02-07,spring,2011,Feb,Mon,Workday,Clear,0.27,0.30,0.74,0.05,120,1592,1712
39,2011-02-08,spring,2011,Feb,Tue,Workday,Clear,0.22,0.20,0.54,0.36,64,1466,1530
40,2011-02-09,spring,2011,Feb,Wed,Workday,Mist,0.13,0.14,0.49,0.19,53,1552,1605
41,2011-02-10,spring,2011,Feb,Thu,Workday,Clear,0.14,0.15,0.44,0.22,47,1491,1538
42,2011-02-11,spring,2011,Feb,Fri,Workday,Clear,0.19,0.21,0.51,0.11,149,1597,1746
43,2011-02-12,spring,2011,Feb,Sat,Holiday,Clear,0.22,0.23,0.54,0.20,288,1184,1472
44,2011-02-13,spring,2011,Feb,Sun,Holiday,Clear,0.32,0.32,0.46,0.26,397,1192,1589
45,2011-02-14,spring,2011,Feb,Mon,Workday,Clear,0.41,0.40,0.38,0.42,208,1705,1913
46,2011-02-15,spring,2011,Feb,Tue,Workday,Clear,0.27,0.25,0.31,0.29,140,1675,1815
47,2011-02-16,spring,2011,Feb,Wed,Workday,Clear,0.32,0.32,0.42,0.25,218,1897,2115
48,2011-02-17,spring,2011,Feb,Thu,Workday,Clear,0.44,0.43,0.51,0.23,259,2216,2475
49,2011-02-18,spring,2011,Feb,Fri,Workday,Clear,0.52,0.51,0.52,0.26,579,2348,2927
50,2011-02-19,spring,2011,Feb,Sat,Holiday,Clear,0.40,0.39,0.19,0.51,532,1103,1635
51,2011-02-20,spring,2011,Feb,Sun,Holiday,Clear,0.29,0.28,0.41,0.22,639,1173,1812
52,2011-02-21,spring,2011,Feb,Mon,Holiday,Mist,0.30,0.28,0.60,0.31,195,912,1107
53,2011-02-22,spring,2011,Feb,Tue,Workday,Clear,0.18,0.19,0.58,0.20,74,1376,1450
54,2011-02-23,spring,2011,Feb,Wed,Workday,Clear,0.22,0.25,0.42,0.09,139,1778,1917
55,2011-02-24,spring,2011,Feb,Thu,Workday,Mist,0.30,0.29,0.70,0.25,100,1707,1807
56,2011-02-25,spring,2011,Feb,Fri,Workday,Mist,0.36,0.35,0.71,0.35,120,1341,1461
57,2011-02-26,spring,2011,Feb,Sat,Holiday,Clear,0.28,0.28,0.54,0.19,424,1545,1969
58,2011-02-27,spring,2011,Feb,Sun,Holiday,Clear,0.34,0.35,0.68,0.13,694,1708,2402
59,2011-02-28,spring,2011,Feb,Mon,Workday,Mist,0.41,0.40,0.88,0.29,81,1365,1446
60,2011-03-01,spring,2011,Mar,Tue,Workday,Clear,0.27,0.26,0.54,0.22,137,1714,1851
61,2011-03-02,spring,2011,Mar,Wed,Workday,Clear,0.34,0.32,0.45,0.31,231,1903,2134
62,2011-03-03,spring,2011,Mar,Thu,Workday,Clear,0.20,0.20,0.32,0.23,123,1562,1685
